Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone
367342,Complaint against Xfinity/Comcast,26-06-15,26-Jun-15,2:38:50 AM,Internet,Aptos,California,95003,Closed,No
227209,Comcast credit after cancellation has not been received after more than a year,04-09-15,04-Sep-15,4:40:05 PM,Customer Care Call,Arlington,Virginia,22202,Closed,No
266376,Comcast False Promises,30-04-15,30-Apr-15,1:06:52 PM,Internet,Arlington,Virginia,22206,Closed,No
325273,Comcast Blocking UDP Port 443,06-05-15,06-May-15,1:02:10 PM,Customer Care Call,Arlington,Virginia,22206,Closed,Yes
342435,Issues with Comcast,15-06-15,15-Jun-15,10:39:15 PM,Internet,Arlington,Virginia,22206,Solved,No
348514,Comcast Refuses to Schedule a Future Service Stoppage,18-06-15,18-Jun-15,12:02:57 PM,Internet,Arlington,Virginia,22204,Solved,No
352100,Comcast,19-06-15,19-Jun-15,2:36:57 PM,Internet,Arlington,Virginia,22206,Open,No
355887,Overbilling,22-06-15,22-Jun-15,1:45:40 PM,Customer Care Call,Arlington,Virginia,22207,Solved,Yes
356118,"Comcast - failure to provide service, refusal to void contract",22-06-15,22-Jun-15,2:41:05 PM,Customer Care Call,Arlington,Virginia,22206,Solved,No
363869,Spotty Comcast service,25-06-15,25-Jun-15,8:03:27 AM,Customer Care Call,Arlington,Virginia,22202,Solved,No
369398,without service despite willingness to pay,26-06-15,26-Jun-15,9:09:12 PM,Customer Care Call,Arlington,Virginia,22204,Open,No
226231,Issues with Xfinity/Comcast,04-09-15,04-Sep-15,12:24:32 PM,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No
241880,Cable Modem rent for Internet access,17-04-15,17-Apr-15,3:48:16 PM,Internet,Arlington Heights,Illinois,60004,Closed,No
360187,Comcast/Xfinity,23-06-15,23-Jun-15,9:27:28 PM,Customer Care Call,Arvada,Colorado,80004,Solved,No
223960,Speed issues,04-08-15,04-Aug-15,12:53:45 PM,Internet,Ashland,Virginia,23005,Closed,No
355934,AT&T,22-06-15,22-Jun-15,1:58:04 PM,Customer Care Call,Athens,Tennessee,37303,Solved,No
211976,Fraudulent claims reported to collections agency,04-01-15,04-Jan-15,1:26:53 PM,Customer Care Call,Atlanta,Georgia,30312,Closed,No
243998,Comcast using a Data Cap to take however much money they like,19-04-15,19-Apr-15,10:49:13 PM,Internet,Atlanta,Georgia,30097,Closed,No
265755,Comcast Data Cap,30-04-15,30-Apr-15,8:50:19 AM,Customer Care Call,Atlanta,Georgia,30339,Closed,No
230907,Speed of service,04-11-15,04-Nov-15,8:30:03 PM,Customer Care Call,Atlanta,Georgia,30319,Closed,No
231273,Comcast's Monopolistic Practices and Data Capping,04-12-15,04-Dec-15,3:22:03 PM,Internet,Atlanta,Georgia,30315,Closed,No
231292,"Comcast data cap ""trials""",04-12-15,04-Dec-15,3:45:26 PM,Internet,Atlanta,Georgia,30316,Closed,No
231377,Comcast billing problem,04-12-15,04-Dec-15,6:18:10 PM,Internet,Atlanta,Georgia,30308,Closed,No
252681,Comcast Needs Competition,23-04-15,23-Apr-15,2:26:10 PM,Customer Care Call,Atlanta,Georgia,30315,Closed,No
268101,Comcast services/billing issues,05-01-15,05-Jan-15,10:00:59 AM,Customer Care Call,Atlanta,Georgia,30316,Solved,No
269066,Incorrect Bill,05-01-15,05-Jan-15,3:43:37 PM,Customer Care Call,Atlanta,Georgia,30317,Solved,No
273420,Legality of data caps,05-05-15,05-May-15,11:58:26 AM,Internet,Atlanta,Georgia,30315,Closed,No
278509,Data caps,05-07-15,05-Jul-15,2:55:45 PM,Internet,Atlanta,Georgia,30363,Open,No
279656,Comcast Added Service After I Declined It,05-08-15,05-Aug-15,8:47:45 AM,Internet,Atlanta,Georgia,30345,Solved,No
288771,Comcast Misled With Overage Policy,13-05-15,13-May-15,7:55:53 PM,Internet,Atlanta,Georgia,30317,Open,No
293512,Cable service and telephone connect not complete,16-05-15,16-May-15,4:29:33 PM,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes
297104,Comcast data cap,19-05-15,19-May-15,1:51:11 PM,Customer Care Call,Atlanta,Georgia,30305,Solved,No
303412,Comcast Won't Cancel My Service,22-05-15,22-May-15,1:09:51 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No
304450,Data Caps,23-05-15,23-May-15,12:05:55 AM,Internet,Atlanta,Georgia,30318,Open,No
305137,Comcast disconnecting service before due date,23-05-15,23-May-15,11:34:43 PM,Internet,Atlanta,Georgia,30324,Open,No
305982,comcast data cap,25-05-15,25-May-15,3:34:56 PM,Internet,Atlanta,Georgia,30309,Open,No
307799,Comcast,26-05-15,26-May-15,4:29:57 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No
308171,Unbelievable Treatment,26-05-15,26-May-15,6:40:25 PM,Customer Care Call,Atlanta,Georgia,30310,Solved,No
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,28-05-15,28-May-15,10:35:40 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No
311725,Comcast's Terrible Service - How are they still in business?,28-05-15,28-May-15,2:46:47 PM,Internet,Atlanta,Georgia,30309,Solved,No
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,29-05-15,29-May-15,3:56:01 PM,Internet,Atlanta,Georgia,30314,Solved,No
315173,Comcast discontinuation of service issue,30-05-15,30-May-15,3:27:41 PM,Customer Care Call,Atlanta,Georgia,30312,Open,No
317945,Comcast customer service,06-01-15,06-Jan-15,9:32:46 PM,Customer Care Call,Atlanta,Georgia,30329,Closed,No
318301,Comcast,06-02-15,06-Feb-15,10:06:22 AM,Customer Care Call,Atlanta,Georgia,30315,Closed,No
322511,"Comcast bandwidth data caps in Atlanta, GA",06-03-15,06-Mar-15,11:59:33 PM,Internet,Atlanta,Georgia,30341,Closed,Yes
322882,Comcast won't quit charging me for modem rental,06-04-15,06-Apr-15,10:58:18 AM,Internet,Atlanta,Georgia,30317,Solved,No
323473,Comcast download caps,06-04-15,06-Apr-15,2:18:03 PM,Internet,Atlanta,Georgia,30345,Solved,No
325596,Horrible Comcast Customer Service,06-05-15,06-May-15,2:46:43 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No
327291,Data Cap,06-07-15,06-Jul-15,10:01:52 AM,Internet,Atlanta,Georgia,30309,Solved,No
334035,Bad Customer Service,06-10-15,06-Oct-15,10:24:00 PM,Internet,Atlanta,Georgia,30331,Solved,No
340637,disconnection of service,15-06-15,15-Jun-15,10:56:55 AM,Customer Care Call,Atlanta,Georgia,30306,Solved,No
341535,Comcast Data Usage Charges,15-06-15,15-Jun-15,3:39:09 PM,Customer Care Call,Atlanta,Georgia,30309,Open,No
350016,Comcast refuses service to my address,18-06-15,18-Jun-15,4:45:38 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No
349567,Comcast will not let me discuss my bill or service with a representative,18-06-15,18-Jun-15,3:36:45 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No
349716,Comcast billing frauds,18-06-15,18-Jun-15,3:53:05 PM,Internet,Atlanta,Georgia,30328,Solved,No
354254,Comcast TV/Internet hookup,20-06-15,20-Jun-15,7:16:33 PM,Internet,Atlanta,Georgia,30341,Solved,No
355121,no service for 5+ days,22-06-15,22-Jun-15,9:05:33 AM,Internet,Atlanta,Georgia,30341,Solved,No
357856,Comcast - Billing,23-06-15,23-Jun-15,11:35:54 AM,Customer Care Call,Atlanta,Georgia,30363,Open,No
359719,Comcast Internet,23-06-15,23-Jun-15,6:27:47 PM,Customer Care Call,Atlanta,Georgia,30307,Solved,No
359260,Comcast speed integrity,23-06-15,23-Jun-15,4:30:18 PM,Customer Care Call,Atlanta,Georgia,30308,Pending,No
358601,Data cap,23-06-15,23-Jun-15,2:21:23 PM,Internet,Atlanta,Georgia,30306,Pending,No
362076,Comcast Atlanta Data Caps,24-06-15,24-Jun-15,2:13:31 PM,Internet,Atlanta,Georgia,30306,Pending,No
362097,Comcast Atlanta Data Caps,24-06-15,24-Jun-15,2:18:32 PM,Internet,Atlanta,Georgia,30324,Pending,No
363616,COMCAST Poor Customer Service,24-06-15,24-Jun-15,10:28:58 PM,Internet,Atlanta,Georgia,30345,Open,No
361720,Overage on 300GB data plan with Comcast,24-06-15,24-Jun-15,12:39:59 PM,Customer Care Call,Atlanta,Georgia,30306,Solved,No
362223,Comcast bill,24-06-15,24-Jun-15,2:43:13 PM,Customer Care Call,Atlanta,Georgia,30316,Solved,No
363102,Comcast Data Cap,24-06-15,24-Jun-15,6:24:57 PM,Customer Care Call,Atlanta,Georgia,30328,Pending,No
363235,Unfair Billing Practices,24-06-15,24-Jun-15,7:12:16 PM,Internet,Atlanta,Georgia,30307,Solved,No
363424,Comcast data caps,24-06-15,24-Jun-15,8:42:06 PM,Customer Care Call,Atlanta,Georgia,30327,Solved,No
365321,Comcast Refusing to Honor Internet Rate,25-06-15,25-Jun-15,2:08:35 PM,Internet,Atlanta,Georgia,30324,Solved,No
363860,speed,25-06-15,25-Jun-15,7:33:58 AM,Internet,Atlanta,Georgia,30316,Open,No
368838,Not Acceptable Internet Additional Charge.,26-06-15,26-Jun-15,4:42:51 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No
367718,Comcast internet and cable service,26-06-15,26-Jun-15,11:02:54 AM,Customer Care Call,Atlanta,Georgia,30316,Open,Yes
370846,"Comcast deceptive advertising, overage charges",28-06-15,28-Jun-15,12:08:05 PM,Internet,Atlanta,Georgia,30329,Pending,No
372331,Comcast Data Caps,29-06-15,29-Jun-15,1:49:15 PM,Internet,Atlanta,Georgia,30324,Pending,Yes
373205,Comcast: Xfinity Slamming,29-06-15,29-Jun-15,5:41:37 PM,Internet,Atlanta,Georgia,30315,Closed,No
375377,Comcast Support Unable to Provide Accurate Information,30-06-15,30-Jun-15,4:17:34 PM,Internet,Atlanta,Georgia,30328,Open,No
373977,Comcast Data Usage Limits,30-06-15,30-Jun-15,8:14:37 AM,Internet,Atlanta,Georgia,30342,Pending,No
344456,Repeated Erroneous Modem Rental Charge,16-06-15,16-Jun-15,8:17:10 PM,Customer Care Call,Atlanta,Georgia,30308,Solved,No
374159,Xfinity pricing,30-06-15,30-Jun-15,10:33:18 AM,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No
359224,Comcast monopoly,23-06-15,23-Jun-15,4:22:19 PM,Internet,Attalla,Alabama,35954,Solved,No
274956,Internet connection both upload and download speeds,05-05-15,05-May-15,7:34:03 PM,Customer Care Call,Attica,Indiana,47918,Open,No
338651,Internet Availability,13-06-15,13-Jun-15,1:07:20 AM,Internet,Attica,Michigan,48412,Open,No
369453,"Comcast ""50 mb/s"" speed and throttling",26-06-15,26-Jun-15,10:15:55 PM,Internet,Auburn,Georgia,30011,Pending,No
221984,Complaint against Comcast,04-07-15,04-Jul-15,2:43:14 PM,Internet,Auburn,Pennsylvania,17922,Closed,No
346885,Comcast,17-06-15,17-Jun-15,6:17:59 PM,Internet,Auburn,Washington,98092,Open,No
359070,Comcast (Xfinity) Monopolistic Billing Practices,23-06-15,23-Jun-15,3:49:46 PM,Internet,Auburn,Washington,98092,Closed,No
372769,Internet Throttling,29-06-15,29-Jun-15,3:47:44 PM,Internet,Auburn,Washington,98092,Solved,No
311239,Data Usage Overage,28-05-15,28-May-15,12:16:01 PM,Internet,Augusta,Georgia,30907,Solved,Yes
339371,double billing after change of service,13-06-15,13-Jun-15,5:24:59 PM,Internet,Augusta,Georgia,30904,Solved,Yes
360222,Bandwidth Caps becoming excessive,23-06-15,23-Jun-15,9:36:55 PM,Internet,Augusta,Georgia,30907,Solved,No
370518,Comcast data limits,27-06-15,27-Jun-15,8:32:23 PM,Customer Care Call,Augusta,Georgia,30904,Solved,Yes
335988,Unable to cancel xfinity home security,06-11-15,06-Nov-15,9:11:33 PM,Customer Care Call,Aurora,Colorado,80012,Solved,No
361604,Comcast trying to setup stuff we didn't order,24-06-15,24-Jun-15,12:16:47 PM,Customer Care Call,Aurora,Colorado,80011,Solved,No
369583,Terrible waiting times,27-06-15,27-Jun-15,1:21:11 AM,Internet,Aurora,Colorado,80014,Solved,Yes
342399,Incorrect prices for new customers,15-06-15,15-Jun-15,9:50:41 PM,Customer Care Call,Aurora,Illinois,60503,Open,No
359858,Comcast is throttling my internet,23-06-15,23-Jun-15,7:16:40 PM,Customer Care Call,Aurora,Illinois,60503,Pending,No
363993,Internet Pricing,25-06-15,25-Jun-15,9:30:43 AM,Customer Care Call,Aurora,Illinois,60502,Open,No
223256,MISC. CHARGES,04-08-15,04-Aug-15,7:51:06 AM,Customer Care Call,Austell,Georgia,30106,Closed,No
375093,Comast data cap,30-06-15,30-Jun-15,3:07:14 PM,Customer Care Call,Austell,Georgia,30168,Pending,No
347937,Comcast throttles internet,18-06-15,18-Jun-15,9:15:45 AM,Customer Care Call,Austin,Texas,78731,Open,No
360286,throttling,23-06-15,23-Jun-15,10:07:17 PM,Internet,Avon,Colorado,81620,Pending,Yes
279378,Forced Bundling of Internet Service with CATV,05-07-15,05-Jul-15,9:16:13 PM,Customer Care Call,Ayer,Massachusetts,1432,Open,No
301854,Comcast Internet,21-05-15,21-May-15,4:31:00 PM,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes
306805,Failure to deliver service,26-05-15,26-May-15,11:29:54 AM,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No
373653,Comcast HBO Go PS4 app,29-06-15,29-Jun-15,8:40:56 PM,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No
304583,Comcast's refusal to recognize written notice of termination of service,23-05-15,23-May-15,10:37:56 AM,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No
324795,Rates,06-05-15,06-May-15,9:59:39 AM,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No
348338,Termination Fee,18-06-15,18-Jun-15,11:14:49 AM,Internet,Ballston Lake,New York,12019,Solved,No
241422,Comcast internet/cable,17-04-15,17-Apr-15,1:21:20 PM,Internet,Baltimore,Maryland,21224,Closed,No
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,23-04-15,23-Apr-15,12:56:29 PM,Customer Care Call,Baltimore,Maryland,21207,Open,No
259003,REPEATED Comcast billing issues,27-04-15,27-Apr-15,1:35:21 PM,Customer Care Call,Baltimore,Maryland,21239,Closed,No
312881,unauthorized comcast username setup,29-05-15,29-May-15,6:31:23 AM,Customer Care Call,Baltimore,Maryland,21206,Open,No
319505,Services turned off in retaliation for complaints,06-02-15,06-Feb-15,5:14:14 PM,Customer Care Call,Baltimore,Maryland,21218,Closed,No
342923,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online,16-06-15,16-Jun-15,11:17:13 AM,Customer Care Call,Baltimore,Maryland,21218,Open,No
343096,Internet speeds disclosure on bill,16-06-15,16-Jun-15,12:11:39 PM,Internet,Baltimore,Maryland,21218,Solved,No
343625,Internet speed not disclosed,16-06-15,16-Jun-15,3:09:53 PM,Customer Care Call,Baltimore,Maryland,21237,Solved,No
348974,Intermittent Service,18-06-15,18-Jun-15,2:04:40 PM,Customer Care Call,Baltimore,Maryland,21209,Solved,No
356080,Comcast billing practices,22-06-15,22-Jun-15,2:31:19 PM,Internet,Baltimore,Maryland,21218,Solved,No
360196,monopoly,23-06-15,23-Jun-15,9:28:56 PM,Internet,Baltimore,Maryland,21225,Solved,No
358485,Consistently Slow and Throttled Internet Speeds,23-06-15,23-Jun-15,1:56:14 PM,Internet,Baltimore,Maryland,21217,Pending,No
360378,Paying for high speed internet with Comcast. Consistently getting slow service.,23-06-15,23-Jun-15,10:37:16 PM,Internet,Baltimore,Maryland,21202,Open,No
357904,Comcast Monopoly on Packages is costing me more money for same service,23-06-15,23-Jun-15,11:49:09 AM,Customer Care Call,Baltimore,Maryland,21212,Solved,No
361480,"hidden fees, dropped internet connection",24-06-15,24-Jun-15,11:43:44 AM,Internet,Baltimore,Maryland,21224,Solved,Yes
364840,COMCAST HIGH SPEED INTERNET MONOPOLY,25-06-15,25-Jun-15,12:58:48 PM,Internet,Baltimore,Maryland,21224,Solved,No
368793,ComCast cable In Maryland,26-06-15,26-Jun-15,4:25:27 PM,Customer Care Call,Baltimore,Maryland,21222,Solved,No
370296,Billing Dispute & Poor Customer Service,27-06-15,27-Jun-15,5:21:39 PM,Internet,Baltimore,Maryland,21239,Closed,No
373716,Comcast change contract,29-06-15,29-Jun-15,9:27:12 PM,Customer Care Call,Baltimore,Maryland,21239,Solved,Yes
360325,Comcast throttle,23-06-15,23-Jun-15,10:16:47 PM,Customer Care Call,Bargersville,Indiana,46106,Pending,No
249688,Xfinity WiFi access,22-04-15,22-Apr-15,10:53:59 AM,Internet,Barnegat,New Jersey,8005,Closed,No
270364,"No internet, no cable",05-02-15,05-Feb-15,9:14:09 PM,Customer Care Call,Barrington,Illinois,60010,Open,No
256911,Internet service slow and intermittent,25-04-15,25-Apr-15,1:09:19 PM,Customer Care Call,Bartlett,Tennessee,38133,Closed,No
332159,Comcast Account,06-10-15,06-Oct-15,10:09:01 AM,Customer Care Call,Bartlett,Tennessee,38135,Solved,No
294386,Week long issues with speed and no help from comcast,18-05-15,18-May-15,9:36:31 AM,Internet,Bartonville,Illinois,61607,Solved,No
327139,Data Usage Cap Maine,06-06-15,06-Jun-15,8:04:42 PM,Customer Care Call,Bath,Maine,4530,Open,No
360806,Comcasts Shady Business Practices,24-06-15,24-Jun-15,3:43:45 AM,Internet,Battle Ground,Washington,98604,Open,Yes
375249,Comcast cable,30-06-15,30-Jun-15,3:47:29 PM,Internet,Beach Haven,New Jersey,8008,Pending,No
373009,Comcast Pricing,29-06-15,29-Jun-15,4:50:06 PM,Internet,Beachwood,New Jersey,8722,Open,No
229055,Comcast Complaint,04-10-15,04-Oct-15,2:35:54 PM,Internet,Beale Afb,California,95903,Closed,No
365445,CABLE,25-06-15,25-Jun-15,2:25:23 PM,Internet,Beaver Falls,Pennsylvania,15010,Solved,No
252877,Comcast Charges,23-04-15,23-Apr-15,3:20:54 PM,Customer Care Call,Beaverton,Oregon,97005,Open,No
316088,Comcast,31-05-15,31-May-15,11:02:38 PM,Customer Care Call,Beaverton,Oregon,97006,Pending,No
297569,Internet needed!,19-05-15,19-May-15,4:23:00 PM,Internet,Bedford,Indiana,47421,Solved,No
282375,Deceptive Practices,05-10-15,05-Oct-15,9:54:33 AM,Internet,Bedford,Pennsylvania,15522,Solved,No
249174,Comcast fraud,21-04-15,21-Apr-15,9:56:13 PM,Internet,Bel Air,Maryland,21014,Closed,No
327919,Complaint CR Comcast Problem - VOIP Phone not working for days,06-08-15,06-Aug-15,10:23:24 AM,Internet,Bel Air,Maryland,21014,Solved,No
238313,Comcast,15-04-15,15-Apr-15,9:40:42 PM,Internet,Belleville,Michigan,48111,Closed,No
226213,Double-billing,04-09-15,04-Sep-15,12:15:51 PM,Internet,Bellevue,Washington,98004,Closed,No
216441,download speeds slower than dial-up but paying for 25 Mbps,04-03-15,04-Mar-15,1:41:50 PM,Internet,Bellevue,Washington,98006,Closed,No
364301,Comcast billing error,25-06-15,25-Jun-15,11:33:32 AM,Internet,Bellingham,Washington,98229,Solved,Yes
367375,Comcast Internet Technical Support,26-06-15,26-Jun-15,4:54:18 AM,Internet,Bellingham,Washington,98225,Solved,No
235996,Comcast Blocking HBOGo on PS4,14-04-15,14-Apr-15,9:08:59 PM,Customer Care Call,Belmont,California,94002,Closed,No
231265,Residentail Broadband Data Caps,04-12-15,04-Dec-15,3:10:25 PM,Internet,Belmont,Michigan,49306,Closed,No
363097,Comcast,24-06-15,24-Jun-15,6:24:00 PM,Internet,Belton,Missouri,64012,Open,No
304557,Monthly Charges Increased without any notice,23-05-15,23-May-15,10:19:35 AM,Internet,Beltsville,Maryland,20705,Solved,No
260284,Comcast internet for low income families,27-04-15,27-Apr-15,8:57:16 PM,Customer Care Call,Belvidere,Illinois,61008,Closed,No
260286,Comcast internet for low income families,27-04-15,27-Apr-15,8:57:43 PM,Internet,Belvidere,Illinois,61008,Closed,No
272802,Comcast Service and customer service representative,05-04-15,05-Apr-15,8:59:22 PM,Internet,Bensalem,Pennsylvania,19020,Closed,No
293050,Poor internet connection/dropped connection since installation of new modem,16-05-15,16-May-15,8:32:31 AM,Internet,Bensalem,Pennsylvania,19020,Solved,No
351961,Comcast Billing,19-06-15,19-Jun-15,1:46:28 PM,Internet,Bensalem,Pennsylvania,19020,Solved,Yes
360739,Bank Fee Refund Reques,24-06-15,24-Jun-15,1:48:55 AM,Internet,Berkeley,California,94704,Closed,No
